,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Dallas Mavericks,San Antonio Spurs,-1.8257418583505536,-0.5195046045128227,-2.372160742038683,-0.14521666851440218,-0.08968715940794603,0.08968715940794603,-0.8852095218945526,0,10/28/2014
1,Houston Rockets,Los Angeles Lakers,1.8257418583505536,1.0837940887250257,0.2223900695661268,2.299263918144701,1.6469823818549958,-1.6469823818549958,1.1496227557072092,1,10/28/2014
2,Orlando Magic,New Orleans Pelicans,-1.8257418583505536,-0.5732464601520797,1.7420555449346578,-2.1661486386731656,-1.4594546849111094,1.4594546849111094,0.103466048013649,0,10/28/2014
3,New York Knicks,Chicago Bulls,-1.9639610121239317,-1.3716172217564682,-0.8078427346676913,-3.5532386665009135,-2.1593146120722264,2.2207742500297596,-2.5817893396462503,0,10/29/2014
4,Los Angeles Lakers,Phoenix Suns,-1.9639610121239317,-0.4617325300962368,-0.0237600804314026,-2.7504699307358926,-2.1513171505460336,1.1350623944596556,-2.414321923020548,0,10/29/2014
5,Boston Celtics,Brooklyn Nets,1.9639610121239317,-0.5296343727574481,-1.8770463540808129,2.0793026270634978,1.263598921138562,-1.2995641907581552,0.6000915762421021,1,10/29/2014
6,Miami Heat,Washington Wizards,1.9639610121239317,1.1814920623050764,0.0,1.7108186172041435,1.039669998405146,-1.0692616759402545,0.4465797776685394,1,10/29/2014
7,Portland Trail Blazers,Oklahoma City Thunder,1.9639610121239317,-0.2987681077093292,-1.401844745452759,2.513587352969165,1.3355760748743033,-1.373589999092481,0.9350264094935076,1,10/29/2014
8,Houston Rockets,Utah Jazz,1.9639610121239317,0.8691435860635046,0.4039213673338457,1.8555801925060331,0.8557283833026973,-1.32423946020293,0.9629376455977898,1,10/29/2014
9,Philadelphia 76ers,Indiana Pacers,-1.9639610121239317,-1.2358135364340452,-1.8532862736494105,-1.7042385455995124,-1.1356395367194674,1.167962753719355,-1.493251131579183,0,10/29/2014
10,Sacramento Kings,Golden State Warriors,-1.9639610121239317,0.7740810063378094,1.1167237802759262,-2.2503844887839124,-1.3755633825052709,1.4147154481671058,-1.68862978430917,0,10/29/2014
11,Denver Nuggets,Detroit Pistons,1.9639610121239317,0.9234650601924744,-0.21384072388262396,1.3752349653679463,0.9117106139860516,-0.9376602389014544,0.3209792151992639,1,10/29/2014
12,Milwaukee Bucks,Charlotte Hornets,-1.9639610121239317,-1.8740908574494333,0.522721769490859,-0.25662279258062154,0.007997461526194112,-0.008225089814925729,1.535117985735608,0,10/29/2014
13,Toronto Raptors,Atlanta Hawks,1.9639610121239317,0.8691435860635046,-2.280967721414658,0.9738505974854356,0.5998096144645073,-0.6168817361193776,-0.8652483192327965,1,10/29/2014
14,Minnesota Timberwolves,Memphis Grizzlies,-1.9639610121239317,1.9148319630461597,1.4256048258841616,-0.5461459431843997,-0.4238654608882528,0.4359297601910277,-0.7396477567635195,0,10/29/2014
15,Oklahoma City Thunder,Los Angeles Clippers,-2.1342384641809655,2.019704444183677,2.375848902648793,-1.053133786331104,-0.09641134558144747,1.2980185542361593,0.69240697126729,0,10/30/2014
16,Washington Wizards,Orlando Magic,1.0671192320904828,-1.13335932839084,-1.1761628230934609,0.744716034619852,0.9816427913747314,0.10524474764076867,0.7231806144347235,1,10/30/2014
17,New York Knicks,Cleveland Cavaliers,1.0671192320904828,0.4504376817963599,-1.1996860795553312,-0.3761192094039658,-0.4645273923469708,0.149096725824424,-0.8308883655207464,1,10/30/2014
18,Utah Jazz,Dallas Mavericks,-1.0671192320904828,-0.3051352037975341,1.4113953877121543,-1.918207967960225,-1.3322295025799926,0.7367132334853883,-0.9693697597742044,0,10/30/2014
19,Minnesota Timberwolves,Detroit Pistons,1.0671192320904828,-0.14530247799882567,0.8233139761654236,0.7296712662436935,1.2182888214382817,0.4736013643834641,1.3386534777834267,1,10/30/2014
20,Los Angeles Clippers,Los Angeles Lakers,2.4906241298417013,-0.6720129375336044,-0.20081053054631376,1.9215342424210893,0.4883369564693025,-1.8481019935053205,0.7679256424017392,1,10/31/2014
21,Chicago Bulls,Cleveland Cavaliers,0.0,0.19668671342446914,0.4876827170410481,0.820849579286679,0.21577679471899336,-0.4979342158667188,1.3337655894345974,0,10/31/2014
22,San Antonio Spurs,Phoenix Suns,-1.245312064920851,-0.32781118904078305,2.2089158360094543,-1.4551424360082037,-0.9426038927198184,0.6415690858282723,0.2020856953688788,0,10/31/2014
23,Indiana Pacers,Memphis Grizzlies,-1.245312064920851,2.31106888273752,1.7212331189684056,-0.4010969535150818,-0.21577679471899336,0.0,-0.1010428476844394,0,10/31/2014
24,Philadelphia 76ers,Milwaukee Bucks,-1.245312064920851,-0.21307727287650846,-0.831929340834729,-1.6230434863168424,-1.1243106672200236,0.9575657997436896,-1.9198141060043468,0,10/31/2014
25,Sacramento Kings,Portland Trail Blazers,0.0,1.0326052454784662,2.09416696141156,-0.8395052515431944,-2.123697926971155,-1.0437467217206209,-1.1720970331394966,1,10/31/2014
26,Philadelphia 76ers,Miami Heat,-3.2605214026381217,-0.02235043175401164,0.9059926596250104,-3.5062923206936403,-3.2073736203399763,1.0222239959794677,-2.5063918689030484,0,11/01/2014
27,Golden State Warriors,Los Angeles Lakers,3.2605214026381217,0.7152138161283648,1.275100780212978,4.312739554453177,0.450622740047766,-4.6138218196911085,1.8679712985220824,1,11/01/2014
28,Toronto Raptors,Orlando Magic,3.2605214026381217,1.4527780640107395,-2.5166462767361413,2.758283292278996,2.2928745302430404,-0.7459472403093415,0.04729041262081229,1,11/01/2014
29,Boston Celtics,Houston Rockets,-1.6302607013190609,-1.4751284957647517,-2.0133170213889118,-1.6479573907260108,-0.7687093800814815,1.0360378337629732,-1.51329320386599,0,11/01/2014
30,Detroit Pistons,Brooklyn Nets,-1.6302607013190609,0.491709498588251,-0.8388820922453802,-0.9466989265872826,-1.9350270602051087,-0.8978994559279102,-2.340875424730206,0,11/01/2014
31,Utah Jazz,Phoenix Suns,-1.0890141484811329,0.3799573398181941,1.308656063902793,0.0,0.7289485500772673,0.6078088624742763,0.37832330096649824,1,11/01/2014
32,Atlanta Hawks,Indiana Pacers,0.5445070742405662,-1.9891884261070123,-0.8724373759351958,0.4441303606211944,0.6891877200730532,0.2210214045361001,1.3950671723139596,1,11/01/2014
33,Minnesota Timberwolves,Chicago Bulls,-1.0890141484811329,0.5811112256042962,-0.603995106416674,-0.7246337462766855,-0.43736913004635997,0.5525535113402524,-1.3714219660035536,0,11/01/2014
34,Charlotte Hornets,Memphis Grizzlies,-1.6302607013190609,1.2292737464706258,0.2348869858287062,-0.5843820534489399,-1.0337815801095789,-0.4144151335051893,-1.2531959344515242,0,11/01/2014
35,Washington Wizards,Milwaukee Bucks,1.0890141484811329,-1.4974789275187632,-1.8790958866296519,0.2805033856554912,1.1398104601208172,1.0912931848969971,1.1822603155203044,1,11/01/2014
36,Oklahoma City Thunder,Denver Nuggets,-0.5445070742405662,-0.3799573398181941,0.8724373759351947,-0.31556630886242765,0.7156949400758614,1.298500751649594,1.1349699028994946,1,11/01/2014
37,New Orleans Pelicans,Dallas Mavericks,-0.5445070742405664,2.8385048327594458,0.06711056737963084,-0.2103775392416184,-1.7229693001826318,-1.4780806428351756,-2.719198725696703,0,11/01/2014
38,New York Knicks,Charlotte Hornets,1.1568331489688584,-1.2130075242636544,0.2423065366452176,-0.6749843381651758,1.2510900348830278,1.929301012540681,1.1438548027647149,1,11/02/2014
39,Los Angeles Clippers,Sacramento Kings,0.0,-3.3773934989301733,-2.423065366452178,0.31763968854831803,1.2656375934281785,0.7178794465267666,0.5199340012566885,0,11/02/2014
