,Home,Away,W_PCT,REB,TOV,PLUS_MINUS,OFF_RATING,DEF_RATING,TS_PCT,Result,Date
0,Houston Rockets,Los Angeles Lakers,-1.8257418583505536,1.2756796190917368,2.333154971894956,-0.33403619308589755,-0.08680303510153786,0.08680303510153786,0.4528712482875491,0,10/26/2010
1,Miami Heat,Boston Celtics,-1.8257418583505536,-0.38825031885400735,-0.7864567320994234,-1.5383245734218969,-0.7522929708799898,0.7522929708799898,-2.3851219076477586,0,10/26/2010
2,Phoenix Suns,Portland Trail Blazers,-1.8257418583505536,-2.7732165632429053,1.153469873745821,-2.742612953757896,-1.5045859417599796,1.5045859417599796,1.0868909958901145,0,10/26/2010
3,Miami Heat,Philadelphia 76ers,1.0190493307301365,-0.04147316029249232,-0.7236340062797877,1.0776785443063628,0.1097991466993129,-0.809311735375173,0.6728929981976026,1,10/27/2010
4,Houston Rockets,Golden State Warriors,-2.0380986614602725,0.2488389617549585,0.4990579353653711,-0.6106845084402722,-1.2077906136924308,-0.7593542208458399,-1.6312557532063068,0,10/27/2010
5,San Antonio Spurs,Indiana Pacers,2.0380986614602725,-0.2073658014624662,-2.195854915607633,2.2810862521151343,1.2676810573466004,-1.268920869045022,0.142734878405552,1,10/27/2010
6,Detroit Pistons,New Jersey Nets,-2.0380986614602725,-1.7211361521384685,-1.6967969802422616,-0.6017038539043857,-0.459160068015304,0.4596091336698503,-0.9991441488388644,0,10/27/2010
7,Portland Trail Blazers,Los Angeles Clippers,2.0380986614602725,1.9492385337471811,-0.1497173806096108,2.191279706756271,1.5471697943993956,-0.8892437586221034,0.795237179688076,1,10/27/2010
8,Boston Celtics,Cleveland Cavaliers,-1.0190493307301365,0.6843071448261377,1.2226919416451592,-0.7813169446221129,-0.8185027299403256,0.09991502905866324,0.34664184755634075,0,10/27/2010
9,Charlotte Bobcats,Dallas Mavericks,-2.0380986614602725,-1.0160924271660852,1.097927457803817,-2.8558481424118614,-1.4772976101361968,1.4787424300682157,-1.9167255100174112,0,10/27/2010
10,Denver Nuggets,Utah Jazz,2.0380986614602725,0.4976779235099185,-1.4472680125595765,3.897604068574679,2.25587337764041,-2.2580796567257897,1.3457859963952052,1,10/27/2010
11,Sacramento Kings,Minnesota Timberwolves,2.0380986614602725,-0.12441948087748,0.02495289676826851,0.17961309071772713,0.20961655278959634,-0.2098215610231936,-0.1427348784055521,1,10/27/2010
12,Milwaukee Bucks,New Orleans Hornets,-2.0380986614602725,0.22810238160871302,0.7735397998163251,-0.7543749810144541,-0.41923310557919136,0.4196431220463859,-0.18351627223570974,0,10/27/2010
13,New York Knicks,Toronto Raptors,2.0380986614602725,0.9331461065810976,1.0480216642672795,0.9160267626604082,0.6088861771507293,-0.6094816772578452,1.3865673902253617,1,10/27/2010
14,Oklahoma City Thunder,Chicago Bulls,2.0380986614602725,-1.2649313889210438,-0.6986811095115197,1.9757439978949984,1.2976262791736866,-1.298895377762622,1.508911571715835,1,10/27/2010
15,Memphis Grizzlies,Atlanta Hawks,-2.0380986614602725,-1.0368290073123307,-0.2744818644509541,-2.7301189789094513,-1.5072428319632831,1.5087169387858157,-2.0186789945928054,0,10/27/2010
16,Washington Wizards,Orlando Magic,-2.0740315624710446,-4.952172198673413,-2.1074917163967752,-4.663514422580258,-2.8543096048506373,2.832570826201172,-3.0765804516098303,0,10/28/2010
17,Phoenix Suns,Utah Jazz,1.0370157812355223,-0.8484490829895004,-0.20814733001449648,1.5751970512209523,1.7027433159971042,-0.4590718235567419,1.5767474814500375,1,10/28/2010
18,Atlanta Hawks,Philadelphia 76ers,2.5879538065031973,1.2055847188700268,1.0941914956179966,1.6178976428030123,1.6533398249135411,-0.0948508864553157,2.6887475038014466,1,10/29/2010
19,Los Angeles Clippers,Golden State Warriors,-2.5879538065031973,-0.3368545538019201,0.6200418475168646,-2.6005471313766213,-2.790010954541599,0.013550126636472927,-3.2815422290490095,0,10/29/2010
20,Los Angeles Lakers,Phoenix Suns,1.7261651889376326,0.6027923594350141,-1.4953950440112609,0.7047284210982447,0.4133349562283843,-0.3523032925483153,-0.4022535635608466,1,10/29/2010
21,New Jersey Nets,Sacramento Kings,1.2939769032515986,1.5424392726719445,3.0272631378764547,0.7245799259179135,0.31000121717128754,-0.7723572182789966,1.86306913649234,1,10/29/2010
22,Boston Celtics,New York Knicks,0.43218828568603396,0.531875611266188,2.516640439921391,0.08933177168850985,-0.2755566374855907,-0.21680202618357716,0.4445960439356727,1,10/29/2010
